INFO  [2018-01-23 12:38:02,919] main                 pid 7048@PCHacker
DEBUG [2018-01-23 12:38:02,939] main                     atavism.msgsvr_port = 20377
DEBUG [2018-01-23 12:38:02,939] main                     atavism.jdbcJarPath = ../other/mysql-connector-java-3.1.14-bin.jar
DEBUG [2018-01-23 12:38:02,939] main                     user.language = pt
DEBUG [2018-01-23 12:38:02,939] main                     atavism.log_rdp_counters = false
DEBUG [2018-01-23 12:38:02,940] main                     atavism.servername = Local
DEBUG [2018-01-23 12:38:02,940] main                     atavism.startup_timeout = 120
DEBUG [2018-01-23 12:38:02,940] main                     atavism.plugin_dep.Trainer = 
DEBUG [2018-01-23 12:38:02,940] main                     atavism.db_type = mysql
DEBUG [2018-01-23 12:38:02,941] main                     sun.boot.library.path = C:\Program Files\Java\jdk1.7.0_09\jre\bin
DEBUG [2018-01-23 12:38:02,941] main                     atavism.db_driver = com.mysql.jdbc.Driver
DEBUG [2018-01-23 12:38:03,120] main                     atavism.service_password = mgttestpass
DEBUG [2018-01-23 12:38:03,121] main                     java.version = 1.7.0_09
DEBUG [2018-01-23 12:38:03,124] main                     log4j.rootLogger = DEBUG, FILE, ErrorLog
DEBUG [2018-01-23 12:38:03,124] main                     user.timezone = America/Sao_Paulo
DEBUG [2018-01-23 12:38:03,124] main                     log4j.appender.ErrorLog.MaxFileSize = 50MB
DEBUG [2018-01-23 12:38:03,125] main                     atavism.plugin_dep.Domain = Instance,Proxy
DEBUG [2018-01-23 12:38:03,125] main                     sun.arch.data.model = 64
DEBUG [2018-01-23 12:38:03,125] main                     java.endorsed.dirs = C:\Program Files\Java\jdk1.7.0_09\jre\lib\endorsed
DEBUG [2018-01-23 12:38:03,125] main                     atavism.db_name = atavism
DEBUG [2018-01-23 12:38:03,126] main                     sun.cpu.isalist = amd64
DEBUG [2018-01-23 12:38:03,126] main                     sun.jnu.encoding = Cp1252
DEBUG [2018-01-23 12:38:03,127] main                     atavism.worldname = world
DEBUG [2018-01-23 12:38:03,127] main                     file.encoding.pkg = sun.io
DEBUG [2018-01-23 12:38:03,127] main                     atavism.admin.db_password = 
DEBUG [2018-01-23 12:38:03,127] main                     file.separator = \
DEBUG [2018-01-23 12:38:03,128] main                     java.specification.name = Java Platform API Specification
DEBUG [2018-01-23 12:38:03,128] main                     atavism.proxy.bindaddress = localhost
DEBUG [2018-01-23 12:38:03,128] main                     java.class.version = 51.0
DEBUG [2018-01-23 12:38:03,128] main                     log4j.appender.FILE.layout = org.apache.log4j.PatternLayout
DEBUG [2018-01-23 12:38:03,129] main                     user.country = BR
DEBUG [2018-01-23 12:38:03,129] main                     atavism.plugin_dep.Combat = 
DEBUG [2018-01-23 12:38:03,129] main                     atavism.content.db_password = 
DEBUG [2018-01-23 12:38:03,129] main                     java.home = C:\Program Files\Java\jdk1.7.0_09\jre
DEBUG [2018-01-23 12:38:03,130] main                     atavism.plugin_dep.ClassAbility = 
DEBUG [2018-01-23 12:38:03,130] main                     java.vm.info = mixed mode
DEBUG [2018-01-23 12:38:03,130] main                     os.version = 6.1
DEBUG [2018-01-23 12:38:03,131] main                     atavism.plugin_dep.Login = ObjectManager,Instance
DEBUG [2018-01-23 12:38:03,131] main                     atavism.precreated_positional_voice_group = 1
DEBUG [2018-01-23 12:38:03,131] main                     path.separator = ;
DEBUG [2018-01-23 12:38:03,132] main                     atavism.content.db_user = root
DEBUG [2018-01-23 12:38:03,134] main                     atavism.login.bindaddress = localhost
DEBUG [2018-01-23 12:38:03,134] main                     log4j.appender.ErrorLog.layout.ConversionPattern = %-5p [%d{ISO8601}] %-20t %m%n
DEBUG [2018-01-23 12:38:03,134] main                     atavism.plugin_dep.Social = 
DEBUG [2018-01-23 12:38:03,135] main                     java.vm.version = 23.5-b02
DEBUG [2018-01-23 12:38:03,135] main                     atavism.logs = ../logs/world
DEBUG [2018-01-23 12:38:03,135] main                     user.variant = 
DEBUG [2018-01-23 12:38:03,135] main                     atavism.auth.db_user = root
DEBUG [2018-01-23 12:38:03,136] main                     atavism.licence.key = K78V-P7R8
DEBUG [2018-01-23 12:38:03,136] main                     atavism.plugin_dep.Inventory = 
DEBUG [2018-01-23 12:38:03,137] main                     java.awt.printerjob = sun.awt.windows.WPrinterJob
DEBUG [2018-01-23 12:38:03,137] main                     log4j.appender.FILE.File = ${atavism.logs}/${atavism.loggername}.out
DEBUG [2018-01-23 12:38:03,137] main                     sun.io.unicode.encoding = UnicodeLittle
DEBUG [2018-01-23 12:38:03,137] main                     atavism.db_hostname = localhost
DEBUG [2018-01-23 12:38:03,138] main                     awt.toolkit = sun.awt.windows.WToolkit
DEBUG [2018-01-23 12:38:03,138] main                     user.script = 
DEBUG [2018-01-23 12:38:03,138] main                     user.home = C:\Users\Hacker Noiadão
DEBUG [2018-01-23 12:38:03,184] main                     atavism.content.db_driver = com.mysql.jdbc.Driver
DEBUG [2018-01-23 12:38:03,390] main                     java.specification.vendor = Oracle Corporation
DEBUG [2018-01-23 12:38:03,391] main                     atavism.auth.db_hostname = localhost
DEBUG [2018-01-23 12:38:03,391] main                     atavism.voiceport = 5067
DEBUG [2018-01-23 12:38:03,391] main                     atavism.content.db_name = world_content
DEBUG [2018-01-23 12:38:03,391] main                     java.library.path = C:\Program Files\Java\jdk1.7.0_09\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files\Java\jdk1.7.0_09\bin;.;C:\cygwin64\usr\local\bin;C:\cygwin64\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0;C:\Program Files (x86)\Intel\OpenCL SDK\2.0\bin\x86;C:\Program Files (x86)\Intel\OpenCL SDK\2.0\bin\x64;C:\Program Files (x86)\GtkSharp\2.12\bin;C:\Program Files (x86)\QuickTime\QTSystem;C:\Program Files\Java\jdk1.7.0_09\bin;C:\OpenSSL-Win64\bin;C:\Program Files (x86)\Skype\Phone;C:\Program Files\Git\cmd;C:\Program Files\nodejs;C:\Program Files\Nintendo\Nintendo Dev Interface;C:\Program Files\Nintendo\HostBridge;C:\Program Files (x86)\EgisTec BioExcess\x64;C:\Program Files (x86)\EgisTec BioExcess;C:\Users\Hacker Noiadão\AppData\Local\Programs\Python\Python36-32\Scripts;C:\Users\Hacker Noiadão\AppData\Local\Programs\Python\Python36-32;C:\Program Files\Java\jdk1.7.0_09\bin;C:\Program Files\Heroku\bin;C:\Users\Hacker Noiadão\AppData\Roaming\npm;C:\Users\Hacker Noiadão\AppData\Local\GitHubDesktop\bin;.
DEBUG [2018-01-23 12:38:03,394] main                     java.vendor.url = http://java.oracle.com/
DEBUG [2018-01-23 12:38:03,394] main                     atavism.service_endpoint = localhost
DEBUG [2018-01-23 12:38:03,395] main                     java.vm.vendor = Oracle Corporation
DEBUG [2018-01-23 12:38:03,395] main                     atavism.auth.db_name = master
DEBUG [2018-01-23 12:38:03,395] main                     atavism.msgsvr_hostname = localhost
DEBUG [2018-01-23 12:38:03,395] main                     java.runtime.name = Java(TM) SE Runtime Environment
DEBUG [2018-01-23 12:38:03,396] main                     sun.java.command = atavism.server.engine.Engine -Patavism.worldname=world -i ../bin/mobserver_local.py -i ../config/common/aomessages.py -i ../config/world/worldmessages.py -t ../config/common/typenumbers.txt ../config/common/global_props.py ../config/world/global_props.py ../config/common/mobserver_init.py ../config/world/mobserver_init.py ../config/common/questplugin.py ../config/world/factionplugin.py ../config/world/socialplugin.py ../config/common/mobserver.py ../config/world/mobserver.py ../config/world/extensions_mobserver.py
DEBUG [2018-01-23 12:38:03,397] main                     java.class.path = ../other/rhino1_5R5/js.jar;../other/mysql-connector-java-3.1.14-bin.jar;../dist/lib/injected.jar;../dist/lib/atavism.jar;../dist/lib/agis.jar;../config/world/world.jar;../other/java-getopt-1.0.11.jar;../other/jython.jar;../other/log4j-1.2.15.jar;../other/bcel-5.2.jar;../other/mbsclient.jar;../other/slf4j-api-1.5.6.jar;../other/slf4j-log4j12-1.5.6.jar;../other/shiro-core-1.0-incubating-SNAPSHOT.jar;../other/json_simple-1.1.jar;.
DEBUG [2018-01-23 12:38:03,397] main                     log4j.appender.FILE.MaxBackupIndex = 3
DEBUG [2018-01-23 12:38:03,398] main                     atavism.admin.db_differentsettings = false
DEBUG [2018-01-23 12:38:03,398] main                     atavism.plugin_dep.Voxel = 
DEBUG [2018-01-23 12:38:03,398] main                     atavism.content.db_differentsettings = false
DEBUG [2018-01-23 12:38:03,398] main                     java.vm.specification.name = Java Virtual Machine Specification
DEBUG [2018-01-23 12:38:03,399] main                     log4j.appender.ErrorLog = org.apache.log4j.RollingFileAppender
DEBUG [2018-01-23 12:38:03,399] main                     java.vm.specification.version = 1.7
DEBUG [2018-01-23 12:38:03,399] main                     atavism.rotate_logs_on_startup = true
DEBUG [2018-01-23 12:38:03,399] main                     sun.cpu.endian = little
DEBUG [2018-01-23 12:38:03,399] main                     sun.os.patch.level = Service Pack 1
DEBUG [2018-01-23 12:38:03,400] main                     java.io.tmpdir = C:\cygwin64\tmp\
DEBUG [2018-01-23 12:38:03,400] main                     atavism.plugin_dep.MobManager = ObjectManager,WorldManager,Inventory,Quest,Social
DEBUG [2018-01-23 12:38:03,400] main                     atavism.licence.email = 3liteGaming@cgpersia.com
DEBUG [2018-01-23 12:38:03,400] main                     atavism.log_proxy_histograms = true
DEBUG [2018-01-23 12:38:03,401] main                     java.vendor.url.bug = http://bugreport.sun.com/bugreport/
DEBUG [2018-01-23 12:38:03,401] main                     log4j.appender.FILE.MaxFileSize = 50MB
DEBUG [2018-01-23 12:38:03,401] main                     atavism.loggername = mobserver
DEBUG [2018-01-23 12:38:03,401] main                     os.arch = amd64
DEBUG [2018-01-23 12:38:03,401] main                     java.awt.graphicsenv = sun.awt.Win32GraphicsEnvironment
DEBUG [2018-01-23 12:38:03,404] main                     log4j.appender.FILE.layout.ConversionPattern = %-5p [%d{ISO8601}] %-20t %m%n
DEBUG [2018-01-23 12:38:03,404] main                     java.ext.dirs = C:\Program Files\Java\jdk1.7.0_09\jre\lib\ext;C:\Windows\Sun\Java\lib\ext
DEBUG [2018-01-23 12:38:03,404] main                     user.dir = C:\ataserver\bin
DEBUG [2018-01-23 12:38:03,405] main                     atavism.world_available_message = DONE INITIALIZING, you can log in now
DEBUG [2018-01-23 12:38:03,405] main                     atavism.worldmgrport = 5040
DEBUG [2018-01-23 12:38:03,405] main                     atavism.admin.db_hostname = localhost
DEBUG [2018-01-23 12:38:03,405] main                     line.separator = 

DEBUG [2018-01-23 12:38:03,406] main                     java.vm.name = Java HotSpot(TM) 64-Bit Server VM
DEBUG [2018-01-23 12:38:03,407] main                     atavism.auth.db_driver = com.mysql.jdbc.Driver
DEBUG [2018-01-23 12:38:03,407] main                     atavism.plugin_dep.Instance = ObjectManager,Quest,MobManager,Inventory,WorldManager
DEBUG [2018-01-23 12:38:03,407] main                     atavism.propertyfile = ../bin/world.properties
DEBUG [2018-01-23 12:38:03,407] main                     atavism.db_password = 
DEBUG [2018-01-23 12:38:03,408] main                     atavism.plugin_dep.ObjectManager = 
DEBUG [2018-01-23 12:38:03,408] main                     atavism.plugin_dep.Arena = 
DEBUG [2018-01-23 12:38:03,408] main                     file.encoding = Cp1252
DEBUG [2018-01-23 12:38:03,408] main                     atavism.log_level = 1
DEBUG [2018-01-23 12:38:03,409] main                     log4j.appender.ErrorLog.Threshold = ERROR
DEBUG [2018-01-23 12:38:03,409] main                     log4j.appender.ErrorLog.layout = org.apache.log4j.PatternLayout
DEBUG [2018-01-23 12:38:03,409] main                     atavism.plugin_dep.Vendor = 
DEBUG [2018-01-23 12:38:03,409] main                     atavism.log_voice_counters = true
DEBUG [2018-01-23 12:38:03,410] main                     atavism.admin.db_user = root
DEBUG [2018-01-23 12:38:03,410] main                     java.specification.version = 1.7
DEBUG [2018-01-23 12:38:03,410] main                     atavism.auth.db_password = 
DEBUG [2018-01-23 12:38:03,411] main                     atavism.admin.db_driver = com.mysql.jdbc.Driver
DEBUG [2018-01-23 12:38:03,411] main                     atavism.plugin_dep.DataLogger = 
INFO  [2018-01-23 12:38:03,414] main                 The log level is 1
INFO  [2018-01-23 12:38:03,421] main                 Atavism server version 2.6.1 0 (- -)
INFO  [2018-01-23 12:38:03,430] main                 Entered MarshallingRuntime.initializeBatch: reading type nums from '../config/common/typenumbers.txt'
INFO  [2018-01-23 12:38:03,591] main                 Added marshaller for class :class atavism.msgsys.TargetFilter with typeNum: 46
INFO  [2018-01-23 12:38:03,891] main                 Added marshaller for class :class atavism.agis.plugins.AgisMobClient$sendPetCommandMessage with typeNum: 317
INFO  [2018-01-23 12:38:03,897] main                 Added marshaller for class :class atavism.server.objects.NamedPropertyClass with typeNum: 125
INFO  [2018-01-23 12:38:03,899] main                 Added marshaller for class :class atavism.msgsys.MessageType with typeNum: 101
INFO  [2018-01-23 12:38:03,907] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$FogMessage with typeNum: 191
INFO  [2018-01-23 12:38:03,914] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$MobPathMessage with typeNum: 195
INFO  [2018-01-23 12:38:03,921] main                 Added marshaller for class :class atavism.agis.plugins.ArenaClient$duelStartMessage with typeNum: 302
INFO  [2018-01-23 12:38:03,928] main                 Added marshaller for class :class atavism.agis.plugins.QuestClient$QuestItemUpdateMessage with typeNum: 256
INFO  [2018-01-23 12:38:03,931] main                 Added marshaller for class :class atavism.agis.plugins.AgisMobClient$StartNpcInteractionMessage with typeNum: 326
INFO  [2018-01-23 12:38:03,935] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$SaveObjectMessage with typeNum: 168
INFO  [2018-01-23 12:38:03,977] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$FreeRoadMessage with typeNum: 193
INFO  [2018-01-23 12:38:03,979] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerPlugin$HostInstanceFilter with typeNum: 233
INFO  [2018-01-23 12:38:03,981] main                 Added marshaller for class :class atavism.agis.plugins.GroupClient$createGroupMessage with typeNum: 309
INFO  [2018-01-23 12:38:03,986] main                 Added marshaller for class :class atavism.agis.plugins.CombatClient$QuestMobDeath with typeNum: 241
INFO  [2018-01-23 12:38:03,991] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$GenerateSubObjectMessage with typeNum: 162
INFO  [2018-01-23 12:38:03,995] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$ComReqMessage with typeNum: 183
INFO  [2018-01-23 12:38:03,999] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$placeBagMessage with typeNum: 267
INFO  [2018-01-23 12:38:04,001] main                 Added marshaller for class :class atavism.server.plugins.InventoryClient$ActivateMessage with typeNum: 154
INFO  [2018-01-23 12:38:04,005] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$getGenericItemDataMessage with typeNum: 265
INFO  [2018-01-23 12:38:04,010] main                 Added marshaller for class :class atavism.server.math.Quaternion with typeNum: 80
INFO  [2018-01-23 12:38:04,015] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$GetTemplateMessage with typeNum: 172
INFO  [2018-01-23 12:38:04,017] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$DeleteObjectMessage with typeNum: 175
INFO  [2018-01-23 12:38:04,020] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$generateItemMessage with typeNum: 266
INFO  [2018-01-23 12:38:04,029] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerPlugin$WorldManagerFilter with typeNum: 231
INFO  [2018-01-23 12:38:04,030] main                 Added marshaller for class :class atavism.agis.plugins.ClassAbilityClient$skillGetMessage with typeNum: 286
INFO  [2018-01-23 12:38:04,037] main                 Added marshaller for class :class atavism.msgsys.StringResponseMessage with typeNum: 55
INFO  [2018-01-23 12:38:04,041] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$SoundMessage with typeNum: 215
INFO  [2018-01-23 12:38:04,045] main                 Added marshaller for class :class atavism.agis.plugins.CombatClient$CombatLogoutMessage with typeNum: 246
INFO  [2018-01-23 12:38:04,261] main                 Added marshaller for class :class atavism.server.objects.PointLight with typeNum: 129
INFO  [2018-01-23 12:38:04,267] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$alterCurrencyMessage with typeNum: 279
INFO  [2018-01-23 12:38:04,267] main                 Added marshaller for class :class atavism.server.engine.Perceiver with typeNum: 72
INFO  [2018-01-23 12:38:04,270] main                 Added marshaller for class :class atavism.msgsys.FilterUpdate$Instruction with typeNum: 32
INFO  [2018-01-23 12:38:04,275] main                 Added marshaller for class :class atavism.server.messages.PopulationFilter with typeNum: 108
INFO  [2018-01-23 12:38:04,277] main                 Added marshaller for class :class atavism.agis.plugins.AgisMobClient$categoryUpdatedMessage with typeNum: 324
INFO  [2018-01-23 12:38:04,279] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$getMerchantListMessage with typeNum: 273
INFO  [2018-01-23 12:38:04,281] main                 Added marshaller for class :class atavism.server.plugins.ProxyPlugin$AddStaticPerceptionMessage with typeNum: 240
INFO  [2018-01-23 12:38:04,285] main                 Added marshaller for class :class atavism.server.plugins.InstanceClient$InstanceEntryReqMessage with typeNum: 149
INFO  [2018-01-23 12:38:04,289] main                 Added marshaller for class :class atavism.msgsys.FilterUpdate with typeNum: 31
INFO  [2018-01-23 12:38:04,294] main                 Added marshaller for class :class atavism.agis.plugins.DataLoggerClient$DataLogMessage with typeNum: 329
INFO  [2018-01-23 12:38:04,294] main                 Added marshaller for class :class atavism.msgsys.TargetMessage with typeNum: 40
INFO  [2018-01-23 12:38:04,297] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$FixWorldNodeMessage with typeNum: 177
INFO  [2018-01-23 12:38:04,304] main                 Added marshaller for class :class atavism.server.engine.BaseBehavior$StopCommandMessage with typeNum: 60
INFO  [2018-01-23 12:38:04,306] main                 Added marshaller for class :class atavism.agis.plugins.ArenaClient$duelChallengeDisconnectMessage with typeNum: 300
INFO  [2018-01-23 12:38:04,328] main                 Added marshaller for class :class atavism.server.objects.Boundary with typeNum: 111
INFO  [2018-01-23 12:38:04,329] main                 Added marshaller for class :class atavism.server.objects.DisplayContext with typeNum: 114
INFO  [2018-01-23 12:38:04,334] main                 Added marshaller for class :class atavism.server.objects.RoadSegment with typeNum: 135
INFO  [2018-01-23 12:38:04,336] main                 Added marshaller for class :class atavism.server.engine.BaseBehavior$GotoCommandMessage with typeNum: 59
INFO  [2018-01-23 12:38:04,338] main                 Added marshaller for class :class atavism.agis.plugins.ArenaClient$duelRemoveMessage with typeNum: 305
INFO  [2018-01-23 12:38:04,339] main                 Added marshaller for class :class atavism.server.math.Point with typeNum: 79
INFO  [2018-01-23 12:38:04,340] main                 Added marshaller for class :class atavism.agis.plugins.CombatClient$FactionUpdateMessage with typeNum: 247
INFO  [2018-01-23 12:38:04,345] main                 Added marshaller for class :class atavism.server.plugins.InventoryClient$LootAllMessage with typeNum: 159
INFO  [2018-01-23 12:38:04,347] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$ObjectStatus with typeNum: 179
INFO  [2018-01-23 12:38:04,350] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$RoadMessage with typeNum: 212
INFO  [2018-01-23 12:38:04,354] main                 Added marshaller for class :class atavism.agis.plugins.ArenaClient$getArenaStatsMessage with typeNum: 289
INFO  [2018-01-23 12:38:04,356] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$removeGenericItemMessage with typeNum: 263
INFO  [2018-01-23 12:38:04,358] main                 Added marshaller for class :class atavism.agis.plugins.QuestClient$ConcludeUpdateMessage with typeNum: 260
INFO  [2018-01-23 12:38:04,360] main                 Added marshaller for class :class atavism.agis.plugins.AgisInventoryClient$purchaseItemFromMerchantMessage with typeNum: 274
INFO  [2018-01-23 12:38:04,364] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$SysChatMessage with typeNum: 218
INFO  [2018-01-23 12:38:04,368] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$UnloadObjectMessage with typeNum: 173
INFO  [2018-01-23 12:38:04,370] main                 Added marshaller for class :class atavism.agis.plugins.ClassAbilityClient$skillDecreasedMessage with typeNum: 283
INFO  [2018-01-23 12:38:04,374] main                 Added marshaller for class :class atavism.msgsys.StackFrame with typeNum: 54
INFO  [2018-01-23 12:38:04,377] main                 Added marshaller for class :class atavism.server.messages.SearchMessage with typeNum: 106
INFO  [2018-01-23 12:38:04,380] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$GenerateObjectMessage with typeNum: 161
INFO  [2018-01-23 12:38:04,384] main                 Added marshaller for class :class atavism.agis.plugins.ArenaClient$duelChallengeAcceptMessage with typeNum: 298
INFO  [2018-01-23 12:38:04,387] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$ModifyDisplayContextMessage with typeNum: 198
INFO  [2018-01-23 12:38:04,390] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$DirLocOrientMessage with typeNum: 187
INFO  [2018-01-23 12:38:04,398] main                 Added marshaller for class :class atavism.server.messages.SubObjectFilter with typeNum: 98
INFO  [2018-01-23 12:38:04,401] main                 Added marshaller for class :class atavism.server.pathing.PathInfo with typeNum: 85
INFO  [2018-01-23 12:38:04,406] main                 Added marshaller for class :class atavism.msgsys.AwaitPluginDependentsMessage with typeNum: 50
INFO  [2018-01-23 12:38:04,410] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$ObjInfoRespMessage with typeNum: 204
INFO  [2018-01-23 12:38:04,425] main                 Added marshaller for class :class atavism.agis.plugins.AgisMobClient$SpawnInstanceMobsMessage with typeNum: 311
INFO  [2018-01-23 12:38:04,428] main                 Added marshaller for class :class atavism.msgsys.AllocNameMessage with typeNum: 102
INFO  [2018-01-23 12:38:04,430] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$SetAmbientLightMessage with typeNum: 213
INFO  [2018-01-23 12:38:04,437] main                 Added marshaller for class :class atavism.server.objects.Region$Search with typeNum: 131
INFO  [2018-01-23 12:38:04,439] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$SetPersistenceMessage with typeNum: 169
INFO  [2018-01-23 12:38:04,441] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$DisplayContextReqMessage with typeNum: 189
INFO  [2018-01-23 12:38:04,447] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$TargetedPropertyMessage with typeNum: 220
INFO  [2018-01-23 12:38:04,449] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$DeleteSubObjectMessage with typeNum: 176
INFO  [2018-01-23 12:38:04,451] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$FreeRemoteObjectMessage with typeNum: 192
INFO  [2018-01-23 12:38:04,456] main                 Added marshaller for class :class atavism.agis.plugins.AgisMobClient$spawnPetMessage with typeNum: 314
INFO  [2018-01-23 12:38:04,458] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$ReparentWNodeReqMessage with typeNum: 210
INFO  [2018-01-23 12:38:04,459] main                 Added marshaller for class :class atavism.server.engine.OID with typeNum: 56
INFO  [2018-01-23 12:38:04,461] main                 Added marshaller for class :class atavism.msgsys.PluginAvailableMessage with typeNum: 51
INFO  [2018-01-23 12:38:04,464] main                 Added marshaller for class :class atavism.server.engine.Behavior$CommandMessage with typeNum: 63
INFO  [2018-01-23 12:38:04,466] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$RegisterTemplateMessage with typeNum: 166
INFO  [2018-01-23 12:38:04,468] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$UnloadSubObjectMessage with typeNum: 174
INFO  [2018-01-23 12:38:04,471] main                 Added marshaller for class :class atavism.agis.plugins.DataLoggerClient$CharacterCreatedMessage with typeNum: 330
INFO  [2018-01-23 12:38:04,489] main                 Added marshaller for class :class atavism.server.pathing.PathObject with typeNum: 86
INFO  [2018-01-23 12:38:04,491] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$HostInstanceMessage with typeNum: 227
INFO  [2018-01-23 12:38:04,496] main                 Added marshaller for class :class atavism.server.plugins.WorldManagerClient$WorldNodeCorrectMessage with typeNum: 224
INFO  [2018-01-23 12:38:04,499] main                 Added marshaller for class :class atavism.server.engine.EnginePlugin$TransferObjectMessage with typeNum: 68
INFO  [2018-01-23 12:38:04,501] main                 Added marshaller for class :class atavism.server.plugins.ObjectManagerClient$LoadSubObjectMessage with typeNum: 165
INFO  [2018-01-23 12:38:04,505] main                 Added marshaller for class :class atavism.msgsys.UnsubscribeMessage with typeNum: 41
